,Comment1,rank
447,minor provide return type,2.373584220929696
457,move next interface definition,1.6801934420916091
371,label providing additional instructions,1.4944043191081557
595,provide return type void,1.4537078069587985
549,perhaps label providing additional,1.3358746638711105
510,one element per line,1.301945371384554
515,one property per line,1.2087598280612044
16,add third param description,1.0
25,age date rename accordingly,1.0
322,im okay closing comment,1.0
572,please name variable appropriately,1.0
48,approving direct copy infra,1.0
437,merge thanks fast work,1.0
51,arrange imports alphabetical order,1.0
123,code done initial review,1.0
639,required believe confirm code,1.0
564,please correct typo filename,1.0
190,dashboard component coverage missing,1.0
620,region marking numbers corrected,1.0
353,isemptypersonname sufficient please check,1.0
352,isemptyapiresponse sufficient please check,1.0
286,good please change accordingly,1.0
413,looks like duplicate inuiconfigerrorsunauthorizederrormessage,1.0
262,formatname pipe calling twice,1.0
561,please adhere coding guidelines,1.0
634,renamed better say patientagetemplate,1.0
453,modify use verificationtest method,1.0
290,got common hint text,0.9401657507664668
303,hint text say specify,0.9401657507664668
154,common hint text say,0.9401657507664668
781,text say specify instructions,0.9401657507664668
599,providing additional instructions petct,0.7988614710134951
20,additional instructions petct simulation,0.7988614710134951
344,instructions petct simulation patient,0.7988614710134951
282,good change supported language,0.7643499219823366
103,change supported language texts,0.7643499219823366
32,agent specified despite abnormal,0.7473620374978437
173,contrast agent specified despite,0.7473620374978437
593,provide justification contrast agent,0.7473620374978437
359,justification contrast agent specified,0.7473620374978437
526,parameter provide justification contrast,0.7473620374978437
349,intent parameter provide justification,0.7473620374978437
72,better move next interface,0.7330326604835345
365,keep one property per,0.7216099254019015
459,move private function say,0.7071067811865476
706,spacing start end html,0.7071067811865476
279,give specific class name,0.7071067811865476
712,start end html comment,0.7071067811865476
67,bang sign supposed use,0.7071067811865476
519,optional argument empty call,0.7071067811865476
71,better maintain uniformity mock,0.7071067811865476
506,okay needs taken care,0.7071067811865476
417,maintain uniformity mock data,0.7071067811865476
494,needs taken care sometime,0.7071067811865476
248,file formatting tabsspaces issue,0.7071067811865476
49,argument empty call gettranslocotestingmodule,0.7071067811865476
665,seems file formatting tabsspaces,0.7071067811865476
708,specific class name wrapper,0.7071067811865476
628,remove bang sign supposed,0.7071067811865476
486,need modify one line,0.7071067811865476
452,modify one line enen,0.7071067811865476
584,private function say setlocalecalendar,0.7071067811865476
343,instructions mri simulation patient,0.6819367609913096
598,providing additional instructions mri,0.6819367609913096
19,additional instructions mri simulation,0.6819367609913096
591,property per line would,0.6009794111452331
544,per line would recommended,0.6009794111452331
