,Comment1,rank
968,specialty doctor referring patient,2.156368526711537
835,referring patient radiation therapy,2.156368526711537
293,doctor referring patient radiation,2.156368526711537
477,indentation missing file formatting,2.0
1077,treatment plan matches prescription,1.075720562987145
722,patient setup copied ois,1.0456601431838435
833,recorded patient setup copied,1.0456601431838435
1122,use eg consistency notes,1.0
826,reason gleason capital always,1.0
1115,update patientid patientjobid null,1.0
1110,unit volume cubic centimetres,1.0
877,reviewed comments good job,1.0
52,applies localization ids well,1.0
204,contextinsensitive remarks mind avoided,1.0
653,new commonmarkermenulabeldelete id used,1.0
1213,would prefer validation failed,1.0
90,build failed randomly requeued,1.0
1214,would prefer validation succeeded,1.0
86,better use operator instead,1.0
479,indicating whether would better,1.0
638,need consider stringsscenarios screen,1.0
868,return data could better,1.0
875,review notes new ids,1.0
647,needed please use inuihistorydevice,1.0
340,evaluation criteria clear context,1.0
449,however happy formulation either,1.0
365,fiducial seeds always gold,1.0
686,ok text good resolving,1.0
1017,test case title clear,1.0
352,expand user role rtt,1.0
421,good mind issues found,1.0
358,extend localization field well,1.0
203,contextinsensitive altogether add value,0.8620023917795179
4,actually remove contextinsensitive altogether,0.8620023917795179
41,altogether add value mind,0.8620023917795179
841,remove contextinsensitive altogether add,0.8620023917795179
15,add value mind clear,0.8620023917795179
1155,value mind clear mention,0.8620023917795179
1201,would actually remove contextinsensitive,0.8620023917795179
782,prescription intellispace radiation oncology,0.7495124541604736
194,confirming treatment plan matches,0.7313712795424425
605,miss using transloco structural,0.7071067811865475
763,plugin path relevant hsop,0.7071067811865475
1149,using fifi test cases,0.7071067811865475
1020,test cases missing full,0.7071067811865475
760,please still wait approval,0.7071067811865475
1150,using transloco structural directive,0.7071067811865475
1132,used instead spans instances,0.7071067811865475
107,cases missing full file,0.7071067811865475
1161,verb implanted noun implant,0.7071067811865475
751,planned following work item,0.7071067811865475
89,build expired merge latest,0.7071067811865475
368,fifi test cases need,0.7071067811865475
564,look formulations requirements inspiration,0.7071067811865475
972,spelled way primary dose,0.7071067811865475
1130,used defined way listitem,0.7071067811865475
1184,way primary dose goal,0.7071067811865475
457,hyphen contextsensitive correct adjective,0.7071067811865475
873,review done entries looks,0.7071067811865475
289,dlslabel used defined way,0.7071067811865475
1071,translation variables inline elements,0.7071067811865475
1072,translation work added texts,0.7071067811865475
290,dlslabel used instead spans,0.7071067811865475
879,reviewed new additions minor,0.7071067811865475
519,know least change simulatio,0.7071067811865475
1127,use verb implanted noun,0.7071067811865475
294,documentation diff checker utils,0.7071067811865475
299,done entries looks okay,0.7071067811865475
532,least change simulatio simulation,0.7071067811865475
982,still wait approval unicorn,0.7071067811865475
1018,test case title start,0.7071067811865475
164,code translation work added,0.7071067811865475
354,expired merge latest integration,0.7071067811865475
209,contrast agent allergy better,0.7071067811865475
933,shall test case title,0.7071067811865475
648,needs hyphen contextsensitive correct,0.7071067811865475
9,add documentation diff checker,0.7071067811865475
1229,wrap translation variables inline,0.7071067811865475
1234,yes planned following work,0.7071067811865475
728,perhaps look formulations requirements,0.7071067811865475
22,agent allergy better english,0.7071067811865475
652,new additions minor comments,0.7071067811865475
719,path relevant hsop used,0.7071067811865475
1230,written guards core module,0.7071067811865475
32,already written guards core,0.7071067811865475
856,requesting check treatment plan,0.6765731874768655
193,confirming recorded patient setup,0.6042335738972463
1135,used parameter history popup,0.5773502691896257
781,pr take care resolving,0.5773502691896257
424,good test case spinner,0.5773502691896257
444,history popup available ui,0.5773502691896257
814,purpose shouldnt artifact well,0.5773502691896257
443,history module documentation design,0.5773502691896257
303,dont see technical issue,0.5773502691896257
1126,use text footer file,0.5773502691896257
306,dropdown config editor popup,0.5773502691896257
1005,take care resolving comment,0.5773502691896257
904,scans sentence read correctly,0.5773502691896257
53,apply translation ng modein,0.5773502691896257
557,localizing numeric type textbox,0.5773502691896257
1013,tattoo positions already defined,0.5773502691896257
1136,used support consistent descriptions,0.5773502691896257
903,scan date time intentional,0.5773502691896257
429,group keep sort order,0.5773502691896257
994,support consistent descriptions thorax,0.5773502691896257
742,place div instead span,0.5773502691896257
436,hand positioning would better,0.5773502691896257
1113,update history module documentation,0.5773502691896257
17,additional check apart empty,0.5773502691896257
1016,test case spinner state,0.5773502691896257
1070,translation ng modein view,0.5773502691896257
860,required localizing numeric type,0.5773502691896257
713,parenthesis around scans sentence,0.5773502691896257
1220,would simply use text,0.5773502691896257
866,respective group keep sort,0.5773502691896257
510,job pr take care,0.5773502691896257
28,already defined reuse resource,0.5773502691896257
212,convention configurations case configfilesvalidationdialogconfiguration,0.5773502691896257
839,related pr httpstfsemeataphilipscomtfstpcregionradoncgitimageplanuilibpullrequest overview,0.5773502691896257
721,patient hand positioning would,0.5773502691896257
521,label filled simulation done,0.5773502691896257
199,consistent descriptions thorax board,0.5773502691896257
282,disabling category dropdown config,0.5773502691896257
878,reviewed dont see technical,0.5773502691896257
46,apart empty check required,0.5773502691896257
536,letters scan date time,0.5773502691896257
288,div instead span ptooltip,0.5773502691896257
708,parameter history popup available,0.5773502691896257
131,check apart empty check,0.5773502691896257
907,second one related pr,0.5773502691896257
795,product purpose shouldnt artifact,0.5773502691896257
59,around scans sentence read,0.5773502691896257
98,capital letters scan date,0.5773502691896257
609,module documentation design details,0.5773502691896257
910,see technical issue thank,0.5773502691896257
696,one related pr httpstfsemeataphilipscomtfstpcregionradoncgitimageplanuilibpullrequest,0.5773502691896257
96,cant place div instead,0.5773502691896257
944,simply use text footer,0.5773502691896257
109,category dropdown config editor,0.5773502691896257
391,follow naming convention configurations,0.5773502691896257
633,naming convention configurations case,0.5773502691896257
947,simulation done tense changed,0.5773502691896257
364,feel required localizing numeric,0.5773502691896257
768,positioning would better english,0.5773502691896257
618,move respective group keep,0.5773502691896257
102,case spinner state loading,0.5773502691896257
378,filled simulation done tense,0.5773502691896257
637,need apply translation ng,0.5773502691896257
703,packagetype product purpose shouldnt,0.5773502691896257
769,positions already defined reuse,0.5773502691896257
1119,urology specialty doctor referring,0.5771044059958245
651,neurology specialty doctor referring,0.5771044059958245
724,pediatrics specialty doctor referring,0.5771044059958245
855,requesting check recorded patient,0.5171575913295432
140,check recorded patient setup,0.5171575913295432
626,name class errorinfo file,0.5
847,replaced required different symbol,0.5
392,follow naming convention like,0.5
1226,would used ui also,0.5
1021,test cases new hash,0.5
978,still say dose evaluation,0.5
259,defined dose prescription component,0.5
846,rephrased label text brachy,0.5
281,directly instead additional variable,0.5
1222,would still say dose,0.5
869,return error responce case,0.5
35,also consider removing contextinsensitive,0.5
373,file needs updated within,0.5
213,convention like history columns,0.5
650,needs updated within repo,0.5
27,already completed yet plan,0.5
83,better follow naming convention,0.5
1089,ui also consider removing,0.5
1084,try passing errorerror directly,0.5
838,related file needs updated,0.5
201,constant replaced required different,0.5
634,naming convention like history,0.5
523,label text brachy dates,0.5
43,another option return error,0.5
359,extracted private function function,0.5
1116,updated test cases new,0.5
538,license related file needs,0.5
789,private function function name,0.5
938,shown would make specific,0.5
1138,used ui also consider,0.5
336,error shown would make,0.5
408,generic error shown would,0.5
570,make symbol constant replaced,0.5
338,errorerror directly instead additional,0.5
147,class errorinfo file name,0.5
339,errorinfo infoerror name class,0.5
234,could rephrased label text,0.5
606,missing textbox defined dose,0.5
1000,symbol constant replaced required,0.5
119,changes datadictionary already completed,0.5
249,datadictionary already completed yet,0.5
1039,textbox defined dose prescription,0.5
900,say dose evaluation criteria,0.5
699,option return error responce,0.5
304,dose evaluation criteria type,0.5
1204,would another option return,0.5
402,function function name descirbing,0.5
1028,text brachy dates picker,0.5
108,cases new hash id,0.5
403,function name descirbing operation,0.5
656,new hash id resolving,0.5
716,passing errorerror directly instead,0.5
553,localization missing textbox defined,0.5
480,infoerror name class errorinfo,0.5
64,associated changes datadictionary already,0.5
342,event generic error shown,0.5
586,medicine specialty doctor referring,0.49984028166853045
496,internal medicine specialty doctor,0.49984028166853045
482,information system changes patient,0.4472135954999579
942,similar reason selecting old,0.4472135954999579
940,side please recheck jaakkos,0.4472135954999579
1059,together placed custom imports,0.4472135954999579
243,current module modules grouped,0.4472135954999579
409,generic id could renamed,0.4472135954999579
466,im asking overall label,0.4472135954999579
911,seeing believing case works,0.4472135954999579
419,going code around pr,0.4472135954999579
10,add end note confirming,0.4472135954999579
326,end note confirming treatment,0.4472135954999579
323,empty values represented lets,0.4472135954999579
427,grid empty values represented,0.4472135954999579
430,grouped together placed custom,0.4472135954999579
1001,system changes patient information,0.4472135954999579
439,harm better file formatting,0.4472135954999579
970,specify reason similar reason,0.4472135954999579
371,file formatting avoid horizontal,0.4472135954999579
448,hospital information system changes,0.4472135954999579
912,seems generic id could,0.4472135954999579
20,advance directive come nothing,0.4472135954999579
920,selecting old data need,0.4472135954999579
701,overall label width spaces,0.4472135954999579
684,observed issue problematic localization,0.4472135954999579
278,directive come nothing shown,0.4472135954999579
460,id could renamed inuidialogheaderedittask,0.4472135954999579
397,formatting avoid horizontal scrollbar,0.4472135954999579
853,requesting check hospital information,0.4472135954999579
830,recheck jaakkos comment sure,0.4472135954999579
828,reason similar reason selecting,0.4472135954999579
1159,values represented lets maintain,0.4472135954999579
105,case works expected proof,0.4472135954999579
758,please recheck jaakkos comment,0.4472135954999579
66,avoid horizontal scrollbar whitespaces,0.4472135954999579
612,modules grouped together placed,0.4472135954999579
1156,values advance directive come,0.4472135954999579
669,note confirming treatment plan,0.4472135954999579
195,confirming treatment plan reviewed,0.4472135954999579
527,label width spaces within,0.4472135954999579
827,reason selecting old data,0.4472135954999579
1193,width spaces within label,0.4472135954999579
1199,worklist grid empty values,0.4472135954999579
62,asking overall label width,0.4472135954999579
1200,works expected proof enough,0.4472135954999579
178,comments side please recheck,0.4472135954999579
58,around pr observed issue,0.4472135954999579
772,possible values advance directive,0.4472135954999579
138,check hospital information system,0.4472135954999579
780,pr observed issue problematic,0.4472135954999579
1203,would add end note,0.4472135954999579
844,renamed inuidialogheaderedittask something similar,0.4472135954999579
611,module modules grouped together,0.4472135954999579
153,code around pr observed,0.4472135954999579
508,jaakkos comment sure correctly,0.4472135954999579
82,better file formatting avoid,0.4472135954999579
236,course seeing believing case,0.4472135954999579
78,believing case works expected,0.4472135954999579
1174,want possible values advance,0.4472135954999579
848,represented lets maintain uniformity,0.4472135954999579
232,could renamed inuidialogheaderedittask something,0.4472135954999579
143,check treatment plan matches,0.4222574051213903
749,plan matches prescription intellispace,0.4222574051213903
577,matches prescription intellispace radiation,0.4222574051213903
980,still though approve code,0.40824829046386296
56,approving side well thank,0.40824829046386296
649,needs review still though,0.40824829046386296
594,message dicom data types,0.40824829046386296
565,looks okay marking resolved,0.40824829046386296
1139,used via apis far,0.40824829046386296
975,still need logical separation,0.40824829046386296
579,matches prescription work equally,0.40824829046386296
412,generic warning message dicom,0.40824829046386296
783,prescription matches prescription work,0.40824829046386296
578,matches prescription matches prescription,0.40824829046386296
576,marking resolved approving side,0.40824829046386296
386,fixes fine unicorn needs,0.40824829046386296
779,pr link hope complete,0.40824829046386296
1178,warning need another resources,0.40824829046386296
784,prescription work equally well,0.40824829046386296
694,one generic warning message,0.40824829046386296
68,aware code infra side,0.40824829046386296
360,far aware code infra,0.40824829046386296
1154,validation passes warning need,0.40824829046386296
632,naming convention avoid capital,0.40824829046386296
1167,via apis far aware,0.40824829046386296
755,please help recalling purpose,0.40824829046386296
914,seems spacing issues comparing,0.40824829046386296
356,export import index file,0.40824829046386296
1173,want one generic warning,0.40824829046386296
635,need add details examcard,0.40824829046386296
967,spacing issues comparing invision,0.40824829046386296
1133,used justification specific eg,0.40824829046386296
348,examcard imaging protocol used,0.40824829046386296
1236,yes used via apis,0.40824829046386296
946,simulation date picker component,0.40824829046386296
347,everything looks okay marking,0.40824829046386296
