,Comment1,rank
144,code done initial review,3.0
14,add user story link,2.323655155090715
522,need import configurablecommon imported,2.0
900,using exported translate function,1.7795365797136373
386,injecting service using exported,1.7795365797136373
59,avoid injecting service using,1.7795365797136373
694,service using exported translate,1.7795365797136373
70,better keep single line,1.633963661085004
52,attach user story number,1.414213562373095
899,user story number description,1.414213562373095
492,mock word used twice,1.3631758689592364
231,direct return statement could,1.3554380289606516
447,localization unit test cases,1.1552241147507154
873,use id naming convention,1.0
372,indentation keep next line,1.0
396,inui prefixed ui ids,1.0
600,preferrably ngcontainer outside transloco,1.0
497,module supposed imported root,1.0
60,avoid mock described comment,1.0
733,specific reason passing transloco,1.0
500,move custom import section,1.0
529,need update anything pyprojecttoml,1.0
503,move module imports list,1.0
678,rtpy modified hence changed,1.0
361,import clubbed line gettranslocotestingmodule,1.0
50,attach code coverage report,1.0
879,use ngcontainer discussed meeting,1.0
544,ok resolving localization needed,1.0
499,move appropriate import grouping,1.0
44,approving changes already reviewed,1.0
373,indentation keep seperate lines,1.0
316,get method name getmocklocalizationdata,1.0
200,could grouped custom imports,1.0
15,add user story reference,1.0
239,dont need localize rationale,1.0
469,mark comment transloco imports,1.0
398,inuiselecttask avoid real data,1.0
471,may required pconfigurablecomponentscommonmodule used,1.0
924,would appropriate instead comments,1.0
620,radio button selection option,0.9941023866375338
553,option allows user reset,0.9941023866375338
799,text shown radio button,0.9941023866375338
709,shown radio button selection,0.9941023866375338
691,selection option allows user,0.9941023866375338
85,button selection option allows,0.9941023866375338
120,change text shown radio,0.9941023866375338
118,change text shown error,0.9897857522876993
489,mock function variable etc,0.8172002369290546
921,words mock function variable,0.8172002369290546
63,avoid repeated words mock,0.8172002369290546
647,repeated words mock function,0.8172002369290546
311,function variable etc names,0.8172002369290546
819,toggle button text indicates,0.796655754645138
124,change toggle button text,0.796655754645138
87,button text indicates user,0.796655754645138
114,change label text shown,0.7776286231161547
898,user story link pr,0.7496560928855601
897,user story link discription,0.7496560928855601
826,tooltip toggle button indicating,0.7323652237408729
122,change text shown tooltip,0.7323652237408729
711,shown tooltip toggle button,0.7323652237408729
