,Comment1,rank
108,comment applies necessary places,1.5047843670872212
699,use appropriate data type,1.3541471064165618
576,right maybe better leave,1.0
125,consider moving private function,1.0
390,marked componenthistorytransform say keystoexcludeinhistory,1.0
148,could renamed getifutddocumentlist gethelpdocumnentlist,1.0
430,naming convention issue tddocument,1.0
142,could defined function named,1.0
141,could clubbed import statement,1.0
128,const could please check,1.0
126,consistent design id missing,1.0
113,comment required expect statement,1.0
570,review done cosmetic issues,1.0
112,comment might apply mentioned,1.0
406,might lead confusion rename,1.0
437,need better descirption method,1.0
436,need better decription method,1.0
416,move custom imports group,1.0
59,better specify returns returns,1.0
382,mark const add datatype,1.0
145,could moved global styles,1.0
269,function return type missing,1.0
562,return type specified function,1.0
504,please remove extra whitespace,1.0
16,add proper return description,1.0
685,update doc purpose indicator,1.0
686,update doc understand clearly,1.0
687,update documentation new property,1.0
325,ifu td documents endpoints,1.0
319,id firstintindex called better,1.0
508,possible reuse extend appsettingsicons,1.0
529,provide example input output,1.0
104,column definition data dictionary,0.7837327911609868
414,move appsettingsicons definition remove,0.7071067811865476
172,desire confirmed avinash ok,0.7071067811865476
82,changes made consts reused,0.7071067811865476
491,pipe suffix missing pcheckhistoryvaluecategory,0.7071067811865476
489,per latest function name,0.7071067811865476
98,code need add tracker,0.7071067811865476
692,updated per latest function,0.7071067811865476
247,follow typescript enum naming,0.7071067811865476
691,update returns ideally specify,0.7071067811865476
675,type variable const assume,0.7071067811865476
564,returns ideally specify returns,0.7071067811865476
323,ideally translated strings localization,0.7071067811865476
118,component names present parameter,0.7071067811865476
676,typescript enum naming conventions,0.7071067811865476
400,mention type variable const,0.7071067811865476
243,fix desire confirmed avinash,0.7071067811865476
429,names present parameter names,0.7071067811865476
625,suffix missing pcheckhistoryvaluecategory pcheckhistoryvaluecategorypipe,0.7071067811865476
662,translated strings localization ids,0.7071067811865476
619,stings changes made consts,0.7071067811865476
40,appsettingsicons definition remove references,0.7071067811865476
434,need add tracker sheet,0.7071067811865476
379,many places used please,0.6657719105789677
314,https fsharephilipscom fsites fisrord,0.6485672265115772
383,mark const comment applies,0.6010833230861884
386,mark ids comment applies,0.6010833230861884
127,const comment applies necessary,0.6010833230861884
324,ids comment applies necessary,0.6010833230861884
431,naming tumourlocationhistorymodel tattoopositionhistorymodel could,0.5773502691896257
722,valuesplitseparator null check value,0.5773502691896257
560,return proper description description,0.5773502691896257
411,model interface type generic,0.5773502691896257
338,instead pass model interface,0.5773502691896257
13,add index localization module,0.5773502691896257
517,prescription added checked removing,0.5773502691896257
233,file avoid big lines,0.5773502691896257
62,better use actual endpoints,0.5773502691896257
190,dont think prescription added,0.5773502691896257
84,check value provided dynamically,0.5773502691896257
500,please format file avoid,0.5773502691896257
327,index localization module import,0.5773502691896257
477,pass model interface type,0.5773502691896257
99,code opened comments done,0.5773502691896257
734,wait build finished check,0.5773502691896257
698,use actual endpoints enum,0.5773502691896257
450,null check value provided,0.5773502691896257
250,format file avoid big,0.5773502691896257
419,moved left hand side,0.5773502691896257
7,actual endpoints enum like,0.5773502691896257
115,comments done round review,0.5773502691896257
682,uniformity naming tumourlocationhistorymodel tattoopositionhistorymodel,0.5773502691896257
648,think prescription added checked,0.5773502691896257
357,left hand side like,0.5773502691896257
389,mark return proper description,0.5773502691896257
293,good add index localization,0.5773502691896257
67,build finished check results,0.5773502691896257
146,could moved left hand,0.5773502691896257
60,better uniformity naming tumourlocationhistorymodel,0.5773502691896257
524,proper description description tag,0.5773502691896257
466,opened comments done round,0.5773502691896257
360,lets wait build finished,0.5773502691896257
543,refer existing test cases,0.5607806779175503
129,const mutable comment applies,0.5151783113463132
422,mutable comment applies necessary,0.5151783113463132
384,mark const mutable comment,0.5151783113463132
101,coded isnt column definition,0.5089577744804074
298,hard coded isnt column,0.5089577744804074
344,isnt column definition data,0.5089577744804074
166,defining variables reused multiple,0.5
381,mark componenthistorytransform explained tumor,0.5
168,descirbe function add returns,0.5
169,description better name tddocumentlist,0.5
639,technical description better name,0.5
575,right defined constants reused,0.5
156,data dictionary right mentioned,0.5
602,slash endpoint enum like,0.5
388,mark private assume function,0.5
628,taken data dictionary right,0.5
448,next may latest dataset,0.5
17,add returns descirbe return,0.5
377,loop readonly cannot changed,0.5
376,loop elements loop readonly,0.5
515,prefer descirbe function add,0.5
519,previous pr kindly update,0.5
520,private assume function calling,0.5
510,pr kindly update doc,0.5
262,function calling outside component,0.5
261,function add returns descirbe,0.5
532,put trailing slash endpoint,0.5
254,front back left right,0.5
248,foreach loop elements loop,0.5
664,tumor location transformer file,0.5
657,trailing slash endpoint enum,0.5
333,inside pipe check isempty,0.5
468,overlooked previous pr kindly,0.5
227,explicitly translate constructing xpath,0.5
224,explained tumor location transformer,0.5
393,may latest dataset messages,0.5
355,labels taken data dictionary,0.5
207,endpoint enum like url,0.5
358,left right defined constants,0.5
203,elements loop readonly cannot,0.5
667,twice controlmodelvalue inside pipe,0.5
139,could avoid defining variables,0.5
51,back left right defined,0.5
394,may overlooked previous pr,0.5
131,constructing xpath already verify,0.5
120,componenthistorytransform explained tumor location,0.5
417,move next may latest,0.5
614,stands technical description better,0.5
439,need explicitly translate constructing,0.5
45,assume function calling outside,0.5
726,variables reused multiple places,0.5
97,code move next may,0.5
96,code labels taken data,0.5
49,avoid defining variables reused,0.5
661,translate constructing xpath already,0.5
136,controlmodelvalue inside pipe check,0.5
88,checking twice controlmodelvalue inside,0.5
636,td stands technical description,0.5
71,cant sort data asis,0.447213595499958
541,really require check working,0.447213595499958
186,documents different fails download,0.447213595499958
260,full rename file well,0.447213595499958
608,sort data asis rather,0.447213595499958
370,lodash functions say get,0.447213595499958
191,downloading td documents different,0.447213595499958
534,rather converting lower case,0.447213595499958
593,shortened using lodash functions,0.447213595499958
194,driven based component name,0.447213595499958
587,service jasmine mock httpclienttestingmodule,0.447213595499958
728,via parameter name driven,0.447213595499958
77,change icon red dot,0.447213595499958
712,using lodash functions say,0.447213595499958
595,since endpoint downloading td,0.447213595499958
206,endpoint downloading td documents,0.447213595499958
208,endpoints urls within function,0.447213595499958
348,jasmine mock httpclienttestingmodule remove,0.447213595499958
548,rename file well accordinglt,0.447213595499958
85,check working removed working,0.447213595499958
86,checkhistoryvaluecategory could meaning full,0.447213595499958
42,asis rather converting lower,0.447213595499958
470,parameter name driven based,0.447213595499958
551,require check working removed,0.447213595499958
497,please attach screenshots value,0.447213595499958
423,name driven based component,0.447213595499958
410,mock angular http service,0.447213595499958
274,functions say get etc,0.447213595499958
30,angular http service jasmine,0.447213595499958
265,function need parameterized define,0.447213595499958
396,meaning full rename file,0.447213595499958
122,configurations really require check,0.447213595499958
743,working removed working remove,0.447213595499958
47,attach screenshots value change,0.447213595499958
